pair_class	trait1	trait2	depression_cohort	ibd_cohort	ibd_subtype	overlap_class	primary_extension	n_valid_snps	trait1_h2_pair	trait1_h2_se_pair	trait1_intercept_pair	trait1_intercept_se_pair	trait2_h2_pair	trait2_h2_se_pair	trait2_intercept_pair	trait2_intercept_se_pair	gcov	gcov_se	gcov_z	gcov_intercept	gcov_intercept_se	gcov_intercept_z	rg	se	z	p	gcov_intercept_flag	both_pair_h2_z4	fdr_all_cross_disease	fdr_primary_extension	fdr_within_pair_class
cross_disease	MDD_Howard2019	IBD_deLange2017	Howard_2019	IIBDGC_deLange2017	IBD	meta_components_not_individually_auditable	0	1111654	0.0303	0.0014	1.0528	0.0111	0.2118	0.0268	1.1916	0.0169	0.01	0.0023	4.3478260869565215	0.0074	0.0056	1.3214285714285714	0.1242	0.0291	4.268041237113402	1.9345e-05	0	1	0.00034820999999999995	nan	0.00034820999999999995
cross_disease	MDD_Howard2019	CD_deLange2017	Howard_2019	IIBDGC_deLange2017	CD	meta_components_not_individually_auditable	0	1114154	0.0303	0.0014	1.0531	0.0111	0.3019	0.0441	1.1533	0.0197	0.0118	0.0027	4.37037037037037	0.0054	0.0057	0.9473684210526316	0.1234	0.0275	4.487272727272727	7.4956e-06	0	1	0.0002698416	nan	0.0002698416
cross_disease	MDD_Howard2019	UC_deLange2017	Howard_2019	IIBDGC_deLange2017	UC	meta_components_not_individually_auditable	0	1114111	0.0302	0.0014	1.0534	0.011	0.1433	0.0221	1.1464	0.0155	0.0072	0.0024	3.0	0.0053	0.0055	0.9636363636363637	0.1091	0.0381	2.863517060367454	0.0042	0	1	0.011630769230769231	nan	0.011630769230769231
cross_disease	MDD_Howard2019	IBD_FinnGen_R12	Howard_2019	FinnGen_R12	IBD	no_known_overlap	0	1128259	0.0304	0.0014	1.0555	0.0109	0.0166	0.0024	1.1601	0.0205	0.0027	0.0007	3.857142857142857	-0.0116	0.0058	-2.0	0.1205	0.0336	3.5863095238095237	0.0003	1	1	0.0021599999999999996	nan	0.0021599999999999996
cross_disease	MDD_Howard2019	CD_FinnGen_R12	Howard_2019	FinnGen_R12	CD	no_known_overlap	0	1128259	0.0304	0.0014	1.0555	0.0109	0.0047	0.0012	1.0531	0.0088	0.0019	0.0006	3.166666666666667	-0.0057	0.0052	-1.0961538461538463	0.1632	0.0532	3.067669172932331	0.0021	0	0	0.0068727272727272725	nan	0.0068727272727272725
cross_disease	MDD_Howard2019	UC_FinnGen_R12	Howard_2019	FinnGen_R12	UC	no_known_overlap	0	1128261	0.0304	0.0014	1.0555	0.0109	0.0126	0.0019	1.1206	0.0174	0.0015	0.0007	2.142857142857143	-0.0069	0.0056	-1.2321428571428572	0.078	0.0389	2.0051413881748075	0.0449	0	1	0.06735000000000001	nan	0.06735000000000001
cross_disease	DEP_FinnGen_R12	IBD_deLange2017	FinnGen_R12	IIBDGC_deLange2017	IBD	no_known_overlap	0	1115129	0.0313	0.002	1.1689	0.0108	0.2133	0.0257	1.1911	0.016	0.0068	0.0027	2.518518518518518	0.0026	0.0066	0.3939393939393939	0.0829	0.0351	2.3618233618233617	0.0181	0	1	0.032580000000000005	nan	0.032580000000000005
cross_disease	DEP_FinnGen_R12	CD_deLange2017	FinnGen_R12	IIBDGC_deLange2017	CD	no_known_overlap	0	1117505	0.0313	0.002	1.1692	0.0109	0.3033	0.042	1.1536	0.0197	0.0057	0.0031	1.838709677419355	0.0081	0.0062	1.3064516129032258	0.0586	0.0326	1.7975460122699387	0.0726	0	1	0.0968	nan	0.0968
cross_disease	DEP_FinnGen_R12	UC_deLange2017	FinnGen_R12	IIBDGC_deLange2017	UC	no_known_overlap	0	1117591	0.0312	0.0019	1.1693	0.0109	0.1491	0.022	1.1416	0.0143	0.0047	0.003	1.5666666666666667	-0.0017	0.006	-0.2833333333333333	0.0688	0.0458	1.502183406113537	0.1329	0	1	0.15433548387096774	nan	0.15433548387096774
cross_disease	DEP_FinnGen_R12	IBD_FinnGen_R12	FinnGen_R12	FinnGen_R12	IBD	expected_participant_and_control_overlap	0	1154077	0.0312	0.0019	1.1699	0.0112	0.0168	0.0024	1.1586	0.0204	0.0019	0.0011	1.727272727272727	0.0215	0.0072	2.986111111111111	0.0807	0.0508	1.5885826771653542	0.1122	1	1	0.13464	nan	0.13464
cross_disease	DEP_FinnGen_R12	CD_FinnGen_R12	FinnGen_R12	FinnGen_R12	CD	expected_participant_and_control_overlap	0	1154076	0.0312	0.0019	1.1699	0.0112	0.005	0.0012	1.05	0.0085	0.0023	0.0009	2.555555555555556	0.0148	0.0058	2.5517241379310347	0.1811	0.0749	2.417890520694259	0.0157	1	1	0.0314	nan	0.0314
cross_disease	DEP_FinnGen_R12	UC_FinnGen_R12	FinnGen_R12	FinnGen_R12	UC	expected_participant_and_control_overlap	0	1154078	0.0312	0.0019	1.1699	0.0112	0.0129	0.0019	1.1182	0.0175	0.0004	0.0011	0.36363636363636365	0.0173	0.0067	2.5820895522388057	0.0206	0.0546	0.3772893772893773	0.7058	1	1	0.7058	nan	0.7058
cross_disease	UKB_LifetimeMDD	IBD_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	IBD	shared_UK_sampling_cannot_be_excluded	1	1113860	0.0593	0.0076	1.024	0.0069	0.2112	0.0262	1.1938	0.0166	0.0153	0.0067	2.2835820895522385	-0.0007	0.0056	-0.125	0.1367	0.0599	2.2821368948247076	0.0226	0	1	0.037145454545454544	0.036320000000000005	0.037145454545454544
cross_disease	UKB_LifetimeMDD	CD_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	CD	shared_UK_sampling_cannot_be_excluded	1	1116344	0.0594	0.0076	1.0239	0.0069	0.3007	0.0423	1.1559	0.0198	0.0217	0.008	2.7125	-0.0033	0.0053	-0.6226415094339622	0.1626	0.059	2.7559322033898304	0.0059	0	1	0.0144	0.014400000000000001	0.0144
cross_disease	UKB_LifetimeMDD	UC_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	UC	shared_UK_sampling_cannot_be_excluded	1	1116341	0.0593	0.0076	1.0241	0.0069	0.143	0.0222	1.1471	0.0153	0.0073	0.0063	1.1587301587301588	0.0035	0.005	0.7	0.0797	0.0691	1.1534008683068018	0.2486	0	1	0.2712	0.26796521739130436	0.2712
cross_disease	UKB_LifetimeMDD	IBD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	IBD	no_known_overlap	1	1130931	0.0582	0.0076	1.0267	0.0071	0.0167	0.0024	1.1614	0.0203	0.0071	0.0017	4.176470588235294	-0.0156	0.0044	-3.545454545454545	0.2295	0.0571	4.019264448336252	5.8447e-05	1	1	0.000701364	0.0012000000000000001	0.000701364
cross_disease	UKB_LifetimeMDD	CD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	CD	no_known_overlap	1	1130931	0.0582	0.0076	1.0266	0.0071	0.0049	0.0012	1.0518	0.0089	0.0026	0.0016	1.6249999999999998	-0.0054	0.0043	-1.255813953488372	0.1543	0.0938	1.6449893390191899	0.1	0	1	0.1285714285714286	0.12631578947368424	0.1285714285714286
cross_disease	UKB_LifetimeMDD	UC_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	UC	no_known_overlap	1	1130933	0.0582	0.0076	1.0267	0.0071	0.0126	0.0019	1.1212	0.0175	0.0062	0.0018	3.444444444444444	-0.0131	0.0045	-2.9111111111111114	0.2288	0.0671	3.4098360655737703	0.0007	1	1	0.00252	0.0024	0.00252
cross_disease	UKB_MDDRecur	IBD_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	IBD	shared_UK_sampling_cannot_be_excluded	1	1113860	0.0604	0.0077	1.0203	0.0067	0.2112	0.0262	1.1938	0.0166	0.0166	0.0068	2.4411764705882355	-0.0035	0.0054	-0.6481481481481481	0.1467	0.0614	2.3892508143322475	0.0169	0	1	0.03202105263157894	0.0312	0.03202105263157894
cross_disease	UKB_MDDRecur	CD_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	CD	shared_UK_sampling_cannot_be_excluded	1	1116344	0.0606	0.0076	1.0202	0.0067	0.3007	0.0423	1.1559	0.0198	0.0218	0.0079	2.7594936708860756	-0.0074	0.0054	-1.3703703703703705	0.1615	0.0596	2.7097315436241614	0.0068	0	1	0.0153	0.014836363636363635	0.0153
cross_disease	UKB_MDDRecur	UC_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	UC	shared_UK_sampling_cannot_be_excluded	1	1116341	0.0604	0.0076	1.0204	0.0066	0.143	0.0222	1.1471	0.0153	0.0097	0.0067	1.4477611940298507	0.0032	0.0049	0.653061224489796	0.1048	0.0751	1.3954727030625833	0.1627	0	1	0.18303750000000002	0.18594285714285716	0.18303750000000002
cross_disease	UKB_MDDRecur	IBD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	IBD	no_known_overlap	1	1130931	0.0601	0.0077	1.0218	0.007	0.0167	0.0024	1.1614	0.0203	0.007	0.0017	4.11764705882353	-0.0119	0.0044	-2.7045454545454546	0.2201	0.0579	3.8013816925734023	0.0001	1	1	0.0009000000000000001	0.0012000000000000001	0.0009000000000000001
cross_disease	UKB_MDDRecur	CD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	CD	no_known_overlap	1	1130931	0.0601	0.0077	1.0218	0.007	0.0049	0.0012	1.0518	0.0089	0.0033	0.0016	2.0625	-0.0057	0.0044	-1.2954545454545454	0.1911	0.0992	1.9264112903225807	0.0542	0	1	0.07767692307692307	0.0748	0.07767692307692307
cross_disease	UKB_MDDRecur	UC_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	UC	no_known_overlap	1	1130933	0.0601	0.0077	1.0218	0.007	0.0126	0.0019	1.1212	0.0175	0.0058	0.0019	3.052631578947368	-0.0093	0.0045	-2.066666666666667	0.2094	0.0705	2.9702127659574473	0.003	1	1	0.009	0.009000000000000001	0.009
cross_disease	UKB_GPpsy	IBD_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	IBD	shared_UK_sampling_cannot_be_excluded	1	1113860	0.0449	0.0026	1.0559	0.0094	0.2112	0.0262	1.1938	0.0166	0.0121	0.0033	3.6666666666666665	-0.0039	0.0058	-0.6724137931034483	0.1245	0.0351	3.5470085470085473	0.0004	0	1	0.0024000000000000002	0.0024	0.0024000000000000002
cross_disease	UKB_GPpsy	CD_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	CD	shared_UK_sampling_cannot_be_excluded	1	1116344	0.0449	0.0026	1.0561	0.0095	0.3007	0.0423	1.1559	0.0198	0.0141	0.004	3.525	-0.004	0.0057	-0.7017543859649122	0.1215	0.0355	3.422535211267606	0.0006	0	1	0.00252	0.0024	0.00252
