locus	pair_type	trait1	trait2	ridge	p12	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	status	message
block464	cross_howard_finngen_ibd	Howard_DEP	FinnGen_IBD	0	1e-05	2608	1.17949968848022e-33	5.52584729107009e-31	0.00212988675143449	0.997832267720003	3.78455285654498e-05	ok	
block464	cross_howard_finngen_ibd	Howard_DEP	FinnGen_IBD	0	1e-06	2608	1.1795398647589e-33	5.52603551323146e-31	0.00212995929992646	0.997866256018307	3.78468176649867e-06	ok	
block464	cross_finngen_dep_delange	FinnGen_DEP	deLange_IBD	0	1e-05	2608	5.04717319491095e-33	5.57194407941226e-31	0.0011373448044595	0.124685644392756	0.874177010802778	ok	
block464	cross_finngen_dep_delange	FinnGen_DEP	deLange_IBD	0	1e-06	2608	2.36689029112736e-32	2.61298351274393e-30	0.00533361997177674	0.584717880206169	0.409948499822052	ok	
block464	depression_cross_cohort	Howard_DEP	FinnGen_DEP	0	1e-05	2608	1.14603922394896e-05	0.00536908809978426	0.00126519662037658	0.592331929252097	0.401022325635502	ok	
block464	depression_cross_cohort	Howard_DEP	FinnGen_DEP	0	1e-06	2608	1.79326436573132e-05	0.00840127821510236	0.00197971584877105	0.926851122732585	0.0627499505598838	ok	
block464	ibd_cross_cohort	deLange_IBD	FinnGen_IBD	0	1e-05	2608	3.91987841827655e-62	8.83316894620338e-33	7.07833769848528e-32	0.0149654991834632	0.98503450081655	ok	
block464	ibd_cross_cohort	deLange_IBD	FinnGen_IBD	0	1e-06	2608	3.45458245948662e-61	7.78465739165771e-32	6.23812747392845e-31	0.131890700322751	0.868109299677255	ok	
block464	external_disease_pair	Howard_DEP	deLange_IBD	1e-04	1e-05	2608	9.45176701363848e-33	4.42806570092753e-30	0.00212988888844997	0.997833269896375	3.68412151687343e-05	ok	
block464	external_disease_pair	Howard_DEP	deLange_IBD	1e-04	1e-06	2608	9.45208041715419e-33	4.42821252758507e-30	0.002129959511717	0.997866356244613	3.68424367568608e-06	ok	
block464	finngen_disease_pair	FinnGen_DEP	FinnGen_IBD	1e-04	1e-05	2608	6.06387424538842e-34	6.69435481904216e-32	0.00109498675953522	0.120004706342047	0.878900306898424	ok	
block464	finngen_disease_pair	FinnGen_DEP	FinnGen_IBD	1e-04	1e-06	2608	2.90151790020083e-33	3.2031980795971e-31	0.00523942871290668	0.574213431000151	0.420547140286947	ok	
block464	cross_howard_finngen_ibd	Howard_DEP	FinnGen_IBD	1e-04	1e-05	2608	1.17949968848022e-33	5.52584729107009e-31	0.00212988675143449	0.997832267720003	3.78455285654498e-05	ok	
block464	cross_howard_finngen_ibd	Howard_DEP	FinnGen_IBD	1e-04	1e-06	2608	1.1795398647589e-33	5.52603551323146e-31	0.00212995929992646	0.997866256018307	3.78468176649867e-06	ok	
block464	cross_finngen_dep_delange	FinnGen_DEP	deLange_IBD	1e-04	1e-05	2608	5.04717319491095e-33	5.57194407941226e-31	0.0011373448044595	0.124685644392756	0.874177010802778	ok	
block464	cross_finngen_dep_delange	FinnGen_DEP	deLange_IBD	1e-04	1e-06	2608	2.36689029112736e-32	2.61298351274393e-30	0.00533361997177674	0.584717880206169	0.409948499822052	ok	
block464	depression_cross_cohort	Howard_DEP	FinnGen_DEP	1e-04	1e-05	2608	1.14603922394896e-05	0.00536908809978426	0.00126519662037658	0.592331929252097	0.401022325635502	ok	
block464	depression_cross_cohort	Howard_DEP	FinnGen_DEP	1e-04	1e-06	2608	1.79326436573132e-05	0.00840127821510236	0.00197971584877105	0.926851122732585	0.0627499505598838	ok	
block464	ibd_cross_cohort	deLange_IBD	FinnGen_IBD	1e-04	1e-05	2608	3.91987841827655e-62	8.83316894620338e-33	7.07833769848528e-32	0.0149654991834632	0.98503450081655	ok	
block464	ibd_cross_cohort	deLange_IBD	FinnGen_IBD	1e-04	1e-06	2608	3.45458245948662e-61	7.78465739165771e-32	6.23812747392845e-31	0.131890700322751	0.868109299677255	ok	
block1671	external_disease_pair	Howard_DEP	deLange_IBD	0	1e-05	1928	0.0123315778216258	0.260344772467873	0.0321646698012411	0.679045703632759	0.0161132762765008	ok	
block1671	external_disease_pair	Howard_DEP	deLange_IBD	0	1e-06	1928	0.0125130413040582	0.264175836888701	0.0326379841717012	0.68903809875805	0.00163503887749032	ok	
block1671	finngen_disease_pair	FinnGen_DEP	FinnGen_IBD	0	1e-05	1928	2.68276728801379e-05	0.000185336330509532	0.00581931257476674	0.0392474255256278	0.954721097896215	ok	
block1671	finngen_disease_pair	FinnGen_DEP	FinnGen_IBD	0	1e-06	1928	0.000190603765608841	0.00131676730430821	0.0413447299346867	0.278842936883117	0.67830496211228	ok	
block1671	cross_howard_finngen_ibd	Howard_DEP	FinnGen_IBD	0	1e-05	1928	0.000202384894911653	0.00427275813191618	0.0439002282890581	0.926798578912994	0.0248260497711202	ok	
block1671	cross_howard_finngen_ibd	Howard_DEP	FinnGen_IBD	0	1e-06	1928	0.000207010216250236	0.00437040810411782	0.0449035277831368	0.947979711257311	0.00253934263918369	ok	
block1671	cross_finngen_dep_delange	FinnGen_DEP	deLange_IBD	0	1e-05	1928	0.00839991601613398	0.0580299908223168	0.021909647648113	0.150599577678806	0.76106086783463	ok	
block1671	cross_finngen_dep_delange	FinnGen_DEP	deLange_IBD	0	1e-06	1928	0.0266625725797738	0.184195751377968	0.0695444537175198	0.478025275804186	0.241571946520552	ok	
