excluded_definition	depression_definition_sd	ibd_subtype_sd	ratio
UKB_LifetimeMDD	0.0267655931626736	0.0198834658185886	1.34612312596183
UKB_MDDRecur	0.0239554478344788	0.0198834658185886	1.20479236633301
UKB_GPpsy	0.0195868429987739	0.0198834658185886	0.985081935789215
UKB_ICD10Dep	0.0288009212690129	0.0198834658185886	1.44848596978941
