axis	level	estimate	se	ci_low	ci_high
depression_definition	UKB_LifetimeMDD	0.157675489637226	0.0376800871717043	0.0838225187806857	0.231528460493767
depression_definition	UKB_MDDRecur	0.162807560626654	0.0389462353687852	0.0864729393038352	0.239142181949473
depression_definition	UKB_GPpsy	0.110555253553654	0.0244542831938445	0.0626248584937185	0.158485648613589
depression_definition	UKB_ICD10Dep	0.126608510971811	0.0436686046740117	0.041018045810748	0.212198976132874
ibd_subtype	IBD	0.148941030294639	0.0288027451814092	0.092487649739077	0.205394410850201
ibd_subtype	CD	0.152736986885903	0.0284614955843085	0.0969524555406589	0.208521518231148
ibd_subtype	UC	0.116557093911466	0.0304906512678422	0.0567954174264955	0.176318770396437
