excluded_subtype	depression_definition_sd	ibd_subtype_sd	ratio
IBD	0.0250169839454254	0.0255830476648281	0.977873483768671
CD	0.0250169839454254	0.0228989010180552	1.09249714323409
UC	0.0250169839454254	0.00268414664677288	9.32027464874286
