pair_id	trait_1	trait_2	annotation	annotation_prop	covariance	covariance_se	covariance_z	covariance_p_two_sided	tau	tau_se	h2_trait_1	h2_trait_2	correlation_descriptive	estimable_positive_h2	covariance_enrichment
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	base	1	0.00468620196024629	0.00114756991344557	4.08358733122934	4.4345752679094e-05	-0.0139302006142516	0.00766853515585572	0.0316570171597791	0.0549377328566883	0.11237006677535	TRUE	1
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	Coding_UCSC	0.0142591398753162	0.000467286763419807	0.000655834920565142	0.71250668234796	0.476151074957539	0.000742203589258937	0.00108867328792873	0.00433197290247079	0.00342724228433961	0.121274141742876	TRUE	6.99309049878913
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	Coding_UCSC.flanking.500	0.0493628839626657	0.00091191496345468	0.000773454738408035	1.17901529096794	0.238392087091854	1.89757550387799e-05	0.000988621041518026	0.00572892539936915	-0.000195041810464753	NA	FALSE	3.94214700921923
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	Conserved_LindbladToh	0.0246705380614743	-0.000710235957672548	0.00100141497784559	-0.709232409525694	0.478180264506044	-0.00277437816657102	0.00186058454302188	0.00479178124595754	0.0121731035121993	-0.0929936955156792	TRUE	-6.14331851625023
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	Conserved_LindbladToh.flanking.500	0.3055313572411	0.00305366674558432	0.00182583322901844	1.67247845917777	0.0944300120439188	0.00187938833402346	0.00379349010253348	0.0172813680231231	0.0184928120658486	0.170817004654444	TRUE	2.13277405516343
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	CTCF_Hoffman	0.0238146642288857	5.15246333582248e-05	0.00101702844583152	0.0506619392696516	0.959594905743874	-0.000345256580472079	0.00104305830995059	0.00233865751042618	0.00124893202556395	0.0301482561402728	TRUE	0.461688913611017
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	CTCF_Hoffman.flanking.500	0.046979790339429	0.00018654762468047	0.0013423429530482	0.138971657173643	0.889472545982032	5.0519091838441e-05	0.00141912696002563	-0.000389336549023112	0.00201744466224951	NA	FALSE	0.847339881841533
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	DGF_ENCODE	0.135362603144791	0.00584816546719332	0.00225346739424792	2.59518530515287	0.00945399333189947	0.00386824210759774	0.00307262462429571	0.0345653847185926	0.0112685830397421	0.296322275331502	TRUE	9.21934257640246
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	DGF_ENCODE.flanking.500	0.402860920166699	-0.00280475607496724	0.00273247609390857	-1.02645219155615	0.304678487689203	-0.00486209744338914	0.00456440924802045	-0.000587844340923332	0.0191227738375753	NA	FALSE	-1.48565837540548
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	DHS_peaks_Trynka	0.109959824926663	0.00419439506366817	0.00252685411803811	1.6599276680542	0.0969290046225554	0.00371024677865703	0.00500740510853064	0.0128989710822459	0.00719059347266945	0.435521331162179	TRUE	8.13981046568379
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	DHS_Trynka	0.165742769149422	0.00294586575726614	0.0025259982527753	1.16621844612502	0.243526136416966	-0.00666692157985088	0.00556095100427491	0.0101454792776321	0.0120537272759247	0.266388816033132	TRUE	3.7927774507562
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	DHS_Trynka.flanking.500	0.330062660633612	0.000630947269621915	0.00252878053880196	0.249506534845778	0.802968986642595	0.00217305940267058	0.00448794376716664	0.0163507068519402	0.0259170156787137	0.0306501287709121	TRUE	0.407920628186029
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	Enhancer_Andersson	0.00431375844865067	-7.93414322754966e-06	0.000509712112031937	-0.0155659303364809	0.987580686041557	-0.000166860182957213	0.000511576600569433	0.00389857133776849	0.000697120268085689	-0.00481275150555969	TRUE	-0.392485134067639
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	Enhancer_Andersson.flanking.500	0.0147088846313276	-0.000173062437126312	0.00068113387470683	-0.254079915201399	0.799433819669637	-0.000381656832022285	0.000714072696075637	0.00436523856195607	0.00119963885320959	-0.0756264234858706	TRUE	-2.51074191198043
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	Enhancer_Hoffman	0.0419232233194921	0.00166825180861229	0.00105626389257815	1.57938922302872	0.114246807769755	0.00123700766548075	0.00119504084079023	0.00685594822350062	0.00524648073127139	0.278159437039016	TRUE	8.49152976901538
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	Enhancer_Hoffman.flanking.500	0.0478821316458762	0.00101631492800103	0.00131004635153807	0.775785472634473	0.43787566294803	0.00122658519411484	0.00148519886745703	0.0104924542987547	0.000900910324071955	0.330558995168088	TRUE	4.52932857251969
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	FetalDHS_Trynka	0.0836828878411061	0.00303940145607709	0.00178772348370181	1.7001518880221	0.0891023593486978	0.00170428617664949	0.00266196710457308	0.0167400200116963	0.00844014905383666	0.255702528524645	TRUE	7.75051224658912
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	FetalDHS_Trynka.flanking.500	0.199517409282322	-0.000477672597246643	0.00198252646140432	-0.24094134759154	0.809600575207166	-0.00172528875934695	0.00310111221432149	0.00607551543544282	0.0171636258371676	-0.0467772023761047	TRUE	-0.510891326300013
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	H3K27ac_Hnisz	0.389043808427187	0.00336678663804471	0.00110420215189071	3.04906726751057	0.00229553075746409	-0.000244155500275094	0.00243897708799313	0.028507558789642	0.0218781140737644	0.134812648045161	TRUE	1.84669887900944
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	H3K27ac_Hnisz.flanking.500	0.0314153673807392	-0.000286032938286754	0.000859713246971203	-0.332707375737733	0.739355181420883	-7.88205584870027e-06	0.00093150284457004	0.00276834743499983	-0.00320768026331626	NA	FALSE	-1.94291098272357
replication	IBD_FinnGen_R12	DEP_Howard2019_no23andMe	H3K27ac_PGC2	0.268521272457252	0.00292150092466426	0.00154731309833075	1.88811232052258	0.0590108731942014	-0.000833937950232594	0.00276975716986212	0.0253414084031192	0.0142775322344162	0.153590402813082	TRUE	2.32170122329203
