qtl_key	locus	gene_symbol	gene_id	dataset_label	qtl_type	gwas_trait	p12	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	status	message
block154__QTD000150__ENSG00000260088__1:200690430:200693694:clu_51747_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_amygdala_sQTL	sQTL	FinnGen_DEP	1e-06	1819	0.00698299625583707	0.000517076899122846	0.922920677574777	0.068327915991923	0.0012513332783403	ok	
block154__QTD000150__ENSG00000260088__1:200690430:200693694:clu_51747_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_amygdala_sQTL	sQTL	deLange_IBD	1e-05	1819	3.40214517791937e-18	0.00750029562710501	4.49650840094389e-16	0.991289299939561	0.00121040443333424	ok	
block154__QTD000150__ENSG00000260088__1:200690430:200693694:clu_51747_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_amygdala_sQTL	sQTL	deLange_IBD	1e-06	1819	3.4058553941409e-18	0.00750847508948733	4.50141207716491e-16	0.992370352466283	0.00012117244423075	ok	
block154__QTD000150__ENSG00000260088__1:200690430:200693694:clu_51747_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_amygdala_sQTL	sQTL	FinnGen_IBD	1e-05	1819	4.1331547281285e-15	0.00750172148565456	5.46266075829149e-13	0.991477941251788	0.00102033726200522	ok	
block154__QTD000150__ENSG00000260088__1:200690430:200693694:clu_51747_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_amygdala_sQTL	sQTL	FinnGen_IBD	1e-06	1819	4.13695370734543e-15	0.00750861667489614	5.46768174977499e-13	0.992389255814301	0.000102127510254292	ok	
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_sigmoid_eQTL	eQTL	Howard_DEP	1e-05	1954	1.1374299132153e-10	2.13843003074706e-12	0.978316600082476	0.0183895897680047	0.00329381003363635	ok	
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_sigmoid_eQTL	eQTL	Howard_DEP	1e-06	1954	1.14081176874063e-10	2.14478810286297e-12	0.981225373063628	0.0184442664870209	0.000330360333125603	ok	
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_DEP	1e-05	1954	1.06736625904218e-10	8.74004887032718e-12	0.918054042237276	0.0751673908129957	0.00677856683425119	ok	
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_DEP	1e-06	1954	1.07391792100401e-10	8.79369666483367e-12	0.923689202330142	0.0756287800793203	0.000682017474353952	ok	
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_sigmoid_eQTL	eQTL	deLange_IBD	1e-05	1954	5.27375175920961e-26	1.16263989893069e-10	4.53601477401301e-16	0.999999999847688	3.60498239919028e-11	ok	
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_sigmoid_eQTL	eQTL	deLange_IBD	1e-06	1954	5.27375175938071e-26	1.16263989896841e-10	4.53601477416017e-16	0.999999999880131	3.60498239930725e-12	ok	
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_IBD	1e-05	1954	6.40569048651506e-23	1.16263989891575e-10	5.50960834169821e-13	0.999999999834841	4.83418952590946e-11	ok	
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_IBD	1e-06	1954	6.40569048679375e-23	1.16263989896633e-10	5.50960834193792e-13	0.999999999878348	4.83418952611979e-12	ok	
block154__QTD000226__ENSG00000118200__ENSG00000118200	block154	CAMSAP2	ENSG00000118200	GTEx_colon_sigmoid_eQTL	eQTL	Howard_DEP	1e-05	1954	0.260504900252248	0.00489763365095119	0.719038900088619	0.0135162796723182	0.00204228633586444	ok	
block154__QTD000226__ENSG00000118200__ENSG00000118200	block154	CAMSAP2	ENSG00000118200	GTEx_colon_sigmoid_eQTL	eQTL	Howard_DEP	1e-06	1954	0.260984605015673	0.00490665236111594	0.720362968791842	0.0135411691225217	0.000204604708847463	ok	
block154__QTD000226__ENSG00000118200__ENSG00000118200	block154	CAMSAP2	ENSG00000118200	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_DEP	1e-05	1954	0.243609787367137	0.0199478054401817	0.672405445692868	0.0550504310428837	0.00898653045692953	ok	
block154__QTD000226__ENSG00000118200__ENSG00000118200	block154	CAMSAP2	ENSG00000118200	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_DEP	1e-06	1954	0.245596138830673	0.0201104563457905	0.677888121719871	0.0554993025987112	0.000905980504953991	ok	
block154__QTD000226__ENSG00000118200__ENSG00000118200	block154	CAMSAP2	ENSG00000118200	GTEx_colon_sigmoid_eQTL	eQTL	deLange_IBD	1e-05	1954	1.1826917501132e-16	0.260733663547306	3.26443523450741e-16	0.71965071100409	0.0196156254486003	ok	
block154__QTD000226__ENSG00000118200__ENSG00000118200	block154	CAMSAP2	ENSG00000118200	GTEx_colon_sigmoid_eQTL	eQTL	deLange_IBD	1e-06	1954	1.20394629371517e-16	0.265419394228897	3.32310147701821e-16	0.732583791338645	0.00199681443245775	ok	
block154__QTD000226__ENSG00000118200__ENSG00000118200	block154	CAMSAP2	ENSG00000118200	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_IBD	1e-05	1954	1.43898673076037e-13	0.261177681112491	3.97185402319176e-13	0.72087794807873	0.0179443708082369	ok	
