qtl_key	locus	gene_symbol	gene_id	dataset_label	qtl_type	gwas_trait	p12	PP.H4	status	message	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	idx1	idx2
block154__QTD000146__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_amygdala_eQTL	eQTL	FinnGen_IBD	1e-06	0.00117650361990529	ok		1819	4.16204546910067e-10	0.223591711925068	1.44307625139182e-09	0.775231782595745	1	2
block154__QTD000146__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_amygdala_eQTL	eQTL	FinnGen_IBD	1e-06	0.000693173600114874	ok		1819	0.00580489779527542	0.217893927205128	0.0201269068594024	0.75548109454008	2	2
block154__QTD000150__ENSG00000260088__1:200690430:200693694:clu_51747_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_amygdala_sQTL	sQTL	Howard_DEP			not_screened_by_abf_gate								
block154__QTD000150__ENSG00000260088__1:200690430:200693694:clu_51747_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_amygdala_sQTL	sQTL	FinnGen_DEP			not_screened_by_abf_gate								
block154__QTD000150__ENSG00000260088__1:200690430:200693694:clu_51747_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_amygdala_sQTL	sQTL	deLange_IBD	1e-05		not_estimable	no_signal_pair							
block154__QTD000150__ENSG00000260088__1:200690430:200693694:clu_51747_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_amygdala_sQTL	sQTL	deLange_IBD	1e-06		not_estimable	no_signal_pair							
block154__QTD000150__ENSG00000260088__1:200690430:200693694:clu_51747_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_amygdala_sQTL	sQTL	FinnGen_IBD	1e-05		not_estimable	no_signal_pair							
block154__QTD000150__ENSG00000260088__1:200690430:200693694:clu_51747_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_amygdala_sQTL	sQTL	FinnGen_IBD	1e-06		not_estimable	no_signal_pair							
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_sigmoid_eQTL	eQTL	Howard_DEP			not_screened_by_abf_gate								
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_DEP			not_screened_by_abf_gate								
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_sigmoid_eQTL	eQTL	deLange_IBD	1e-05	2.33924215092527e-11	ok		1954	8.87279981654026e-25	2.53503481444374e-10	3.50007020161207e-15	0.999999999723101	1	1
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_sigmoid_eQTL	eQTL	deLange_IBD	1e-06	2.33924215097453e-12	ok		1954	8.87279981672706e-25	2.53503481449711e-10	3.50007020168576e-15	0.999999999744155	1	1
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_IBD	1e-05	2.53125958992032e-10	ok		1954	4.36212810700424e-19	2.53503480949978e-10	1.72073696224709e-09	0.999999997772633	1	1
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_IBD	1e-05	0.0153527242926668	ok		1954	6.17949863966486e-12	2.43435905721752e-10	0.0243763856920046	0.960270889765713	2	1
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_IBD	1e-06	2.53125959049698e-11	ok		1954	4.362128107998e-19	2.53503481007729e-10	1.7207369626391e-09	0.999999998000447	1	1
block154__QTD000226__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_IBD	1e-06	0.00155678320628122	ok		1954	6.26607989701407e-12	2.46846698090253e-10	0.0247179244228809	0.973725292117725	2	1
