qtl_key	locus	dataset_label	dataset_id	qtl_type	sample_size	gene_id	gene_symbol	molecular_trait_id	n_aligned	min_qtl_p	n_molecular_traits_screened_for_gene
block464__QTD000231__ENSG00000182179__ENSG00000182179	block464	GTEx_colon_transverse_eQTL	QTD000231	eQTL	368	ENSG00000182179	UBA7	ENSG00000182179	1426	1.89089e-17	1
block464__QTD000231__ENSG00000225399__ENSG00000225399	block464	GTEx_colon_transverse_eQTL	QTD000231	eQTL	368	ENSG00000225399	RP11-3B7.1	ENSG00000225399	1918	1.00586e-07	1
block1671__QTD000231__ENSG00000134824__ENSG00000134824	block1671	GTEx_colon_transverse_eQTL	QTD000231	eQTL	368	ENSG00000134824	FADS2	ENSG00000134824	1767	5.53274e-22	1
block464__QTD000235__ENSG00000047849__3:47877523:47909038:clu_42992_-	block464	GTEx_colon_transverse_sQTL	QTD000235	sQTL	368	ENSG00000047849	MAP4	3:47877523:47909038:clu_42992_-	963	9.72194e-09	1
block464__QTD000235__ENSG00000164068__3:49700709:49701491:clu_29483_+	block464	GTEx_colon_transverse_sQTL	QTD000235	sQTL	368	ENSG00000164068	RNF123	3:49700709:49701491:clu_29483_+	1506	7.183469999999999e-20	1
block464__QTD000235__ENSG00000173531__3:49684189:49684314:clu_43117_-	block464	GTEx_colon_transverse_sQTL	QTD000235	sQTL	368	ENSG00000173531	MST1	3:49684189:49684314:clu_43117_-	1528	3.06873e-54	1
block464__QTD000235__ENSG00000233276__3:49357747:49358027:clu_43073_-	block464	GTEx_colon_transverse_sQTL	QTD000235	sQTL	368	ENSG00000233276	GPX1	3:49357747:49358027:clu_43073_-	1810	3.85795e-13	1
block1671__QTD000235__ENSG00000134780__11:61729008:61731317:clu_61952_+	block1671	GTEx_colon_transverse_sQTL	QTD000235	sQTL	368	ENSG00000134780	DAGLA	11:61729008:61731317:clu_61952_+	1834	5.70371e-41	1
block154__QTD000321__ENSG00000118197__ENSG00000118197	block154	GTEx_small_intestine_eQTL	QTD000321	eQTL	174	ENSG00000118197	DDX59	ENSG00000118197	1892	6.37967e-12	1
block154__QTD000321__ENSG00000260088__ENSG00000260088	block154	GTEx_small_intestine_eQTL	QTD000321	eQTL	174	ENSG00000260088	RP11-92G12.3	ENSG00000260088	1892	7.21295e-17	1
block464__QTD000321__ENSG00000164076__ENSG00000164076	block464	GTEx_small_intestine_eQTL	QTD000321	eQTL	174	ENSG00000164076	CAMKV	ENSG00000164076	1340	5.12643e-06	1
block464__QTD000321__ENSG00000173540__ENSG00000173540	block464	GTEx_small_intestine_eQTL	QTD000321	eQTL	174	ENSG00000173540	GMPPB	ENSG00000173540	1424	3.80057e-06	1
block464__QTD000321__ENSG00000182179__ENSG00000182179	block464	GTEx_small_intestine_eQTL	QTD000321	eQTL	174	ENSG00000182179	UBA7	ENSG00000182179	1369	1.3098e-07	1
