pair_class	trait1	trait2	rg	se	z	p	gcov_intercept	gcov_intercept_se	gcov_intercept_z	fdr_within_pair_class	synthesis
cross_disease	DEP_FinnGen_R12	IBD_deLange2017	0.0829	0.0351	2.36182336182336	0.0181	0.0026	0.0066	0.393939393939394	0.02896	reciprocal_pair_reported_separately
cross_disease	MDD_Howard2019	IBD_FinnGen_R12	0.1205	0.0336	3.58630952380952	3e-04	-0.0116	0.0058	-2	0.0012	reciprocal_pair_reported_separately
