pair_id	univ_qualified_by_trait	n_bivar_eligible	n_bivar_q05
HowardMDD__FinnGenIBD	IBD_FinnGen_R12:273;MDD_Howard2019:250	47	2
FinnGenDEP__deLangeIBD	DEP_FinnGen_R12:273;IBD_deLange2017:524	63	2
