metric	value
external_original_gws_variants	852
external_placo_plus_gws_variants	826
external_placo_plus_gws_loci	27
frozen_replicated_rows	4
replicated_rows_with_external_placo_plus	4
replicated_blocks_with_external_placo_plus	3
