axis	level	estimate	se	ci_low	ci_high
depression_definition	UKB_LifetimeMDD	0.11572598698371	0.0472743391815068	0.0230682821879566	0.208383691779463
depression_definition	UKB_MDDRecur	0.133729412848075	0.0491091617257221	0.0374754558656595	0.22998336983049
depression_definition	UKB_GPpsy	0.1035111296766	0.0311571105939102	0.042443192912536	0.164579066440664
depression_definition	UKB_ICD10Dep	0.128429769056515	0.0447444551964034	0.0407306368715639	0.216128901241465
ibd_subtype	IBD	0.130946874912223	0.0349002181530106	0.0625424473323225	0.199351302492124
ibd_subtype	CD	0.141589539130107	0.0340784329653036	0.0747958105181117	0.208383267742102
ibd_subtype	UC	0.0885108098813445	0.0381765168148792	0.0136848369241813	0.163336782838508
